Năm,TT,Diện tích,Năng suất
2000,Hai_Phong,95.9,490.3
2001,Hai_Phong,95.4,487.6
2002,Hai_Phong,94.0,498.4
2003,Hai_Phong,92.1,501.4
2004,Hai_Phong,89.9,505.5
2005,Hai_Phong,88.3,459.3
2006,Hai_Phong,86.9,481.9
2007,Hai_Phong,83.1,461.4
2008,Hai_Phong,82.4,475.9
2009,Hai_Phong,82.4,488.3
2010,Hai_Phong,80.9,485.5
2011,Hai_Phong,79.6,484.4
2012,Hai_Phong,79.2,490.1
2013,Hai_Phong,78.2,490.2
2014,Hai_Phong,77.1,484.7
2015,Hai_Phong,75.8,478.3
2016,Hai_Phong,74.0,465.1
2017,Hai_Phong,72.3,436.7
2018,Hai_Phong,69.3,440.8
2019,Hai_Phong,64.9,413.2
2020,Hai_Phong,58.6,376.1
2000,Hung_Yen,89.7,530.0
2001,Hung_Yen,89.3,506.9
2002,Hung_Yen,88.7,530.6
2003,Hung_Yen,87.3,529.6
2004,Hung_Yen,85.5,519.1
2005,Hung_Yen,82.6,506.8
2006,Hung_Yen,81.5,502.0
2007,Hung_Yen,81.7,491.1
2008,Hung_Yen,81.5,514.5
2009,Hung_Yen,81.5,511.0
2010,Hung_Yen,81.9,514.6
2011,Hung_Yen,81.9,528.6
2012,Hung_Yen,81.8,528.6
2013,Hung_Yen,80.7,502.1
2014,Hung_Yen,78.9,489.6
2015,Hung_Yen,77.5,480.5
2016,Hung_Yen,74.1,457.4
2017,Hung_Yen,70.4,418.6
2018,Hung_Yen,66.4,415.4
2019,Hung_Yen,63.0,403.5
2020,Hung_Yen,58.8,369.5
2000,Nam_Dinh,166.2,965.6
2001,Nam_Dinh,165.3,970.7
2002,Nam_Dinh,164.1,983.4
2003,Nam_Dinh,163.0,946.2
2004,Nam_Dinh,161.0,987.0
2005,Nam_Dinh,158.3,782.6
2006,Nam_Dinh,157.3,964.3
2007,Nam_Dinh,156.7,931.8
2008,Nam_Dinh,158.6,929.0
2009,Nam_Dinh,158.6,889.1
2010,Nam_Dinh,159.0,952.0
2011,Nam_Dinh,158.4,931.6
2012,Nam_Dinh,157.3,933.8
2013,Nam_Dinh,155.4,914.6
2014,Nam_Dinh,154.9,937.7
2015,Nam_Dinh,154.4,935.2
2016,Nam_Dinh,153.0,923.9
2017,Nam_Dinh,151.1,841.9
2018,Nam_Dinh,149.1,891.2
2019,Nam_Dinh,147.0,888.2
2020,Nam_Dinh,145.4,883.2
2000,Ninh_Binh,83.0,426.6
2001,Ninh_Binh,83.2,440.4
2002,Ninh_Binh,82.5,455.9
2003,Ninh_Binh,81.9,427.8
2004,Ninh_Binh,81.4,460.5
2005,Ninh_Binh,80.1,397.1
2006,Ninh_Binh,79.8,464.9
2007,Ninh_Binh,80.4,444.6
2008,Ninh_Binh,81.2,467.9
2009,Ninh_Binh,81.3,484.1
2010,Ninh_Binh,81.1,485.5
2011,Ninh_Binh,80.8,487.9
2012,Ninh_Binh,81.2,490.4
2013,Ninh_Binh,80.9,460.9
2014,Ninh_Binh,80.4,484.3
2015,Ninh_Binh,79.3,475.4
2016,Ninh_Binh,78.7,468.1
2017,Ninh_Binh,77.7,437.0
2018,Ninh_Binh,75.6,457.2
2019,Ninh_Binh,73.6,450.7
2020,Ninh_Binh,71.9,443.1
2000,Quang_Ninh,48.4,176.0
2001,Quang_Ninh,48.8,185.9
2002,Quang_Ninh,49.2,199.5
2003,Quang_Ninh,49.2,214.2
2004,Quang_Ninh,48.4,215.9
2005,Quang_Ninh,47.2,214.9
2006,Quang_Ninh,47.2,202.6
2007,Quang_Ninh,45.6,209.2
2008,Quang_Ninh,45.0,204.1
2009,Quang_Ninh,45.0,203.3
2010,Quang_Ninh,44.7,208.6
2011,Quang_Ninh,43.9,212.6
2012,Quang_Ninh,43.6,216.5
2013,Quang_Ninh,43.0,210.4
2014,Quang_Ninh,43.1,211.3
2015,Quang_Ninh,42.5,211.9
2016,Quang_Ninh,42.3,211.8
2017,Quang_Ninh,41.6,195.9
2018,Quang_Ninh,41.1,208.6
2019,Quang_Ninh,40.2,203.4
2020,Quang_Ninh,39.1,201.8
