Year,Province,Productivity
2000,Ha_Noi,49.71153846153846
2001,Ha_Noi,46.0857908847185
2002,Ha_Noi,51.724444444444444
2003,Ha_Noi,49.13949275362319
2004,Ha_Noi,51.172668513388736
2005,Ha_Noi,50.5188679245283
2006,Ha_Noi,50.28073572120039
2007,Ha_Noi,54.80673934588702
2008,Ha_Noi,54.29383886255924
2009,Ha_Noi,53.29797492767599
2010,Ha_Noi,52.00194363459669
2011,Ha_Noi,56.511175898931
2012,Ha_Noi,55.326192794547225
2013,Ha_Noi,52.049019607843135
2014,Ha_Noi,54.822134387351774
2015,Ha_Noi,55.502008032128515
2016,Ha_Noi,51.57625383828045
2017,Ha_Noi,49.10752688172043
2018,Ha_Noi,50.960648148148145
2019,Ha_Noi,53.85943279901357
2020,Ha_Noi,57.81448538754765
2000,Hai_Duong,52.551159618008185
2001,Hai_Duong,51.30555555555556
2002,Hai_Duong,55.04249291784703
2003,Hai_Duong,54.16787264833575
2004,Hai_Duong,53.637724550898206
2005,Hai_Duong,52.25757575757576
2006,Hai_Duong,53.17829457364341
2007,Hai_Duong,56.954474097331236
2008,Hai_Duong,54.49367088607595
2009,Hai_Duong,57.15873015873016
2010,Hai_Duong,58.359621451104104
2011,Hai_Duong,55.55555555555556
2012,Hai_Duong,58.00955414012739
2013,Hai_Duong,54.0
2014,Hai_Duong,55.17741935483871
2015,Hai_Duong,56.026272577996714
2016,Hai_Duong,56.07382550335571
2017,Hai_Duong,46.156462585034014
2018,Hai_Duong,53.713298791019
2019,Hai_Duong,56.112084063047284
2020,Hai_Duong,58.10375670840787
2000,Hung_Yen,57.00431034482759
2001,Hung_Yen,54.54347826086956
2002,Hung_Yen,58.590308370044056
2003,Hung_Yen,58.42696629213483
2004,Hung_Yen,57.20183486238532
2005,Hung_Yen,57.77511961722488
2006,Hung_Yen,58.35748792270532
2007,Hung_Yen,60.318627450980394
2008,Hung_Yen,60.193236714975846
2009,Hung_Yen,61.165048543689316
2010,Hung_Yen,61.76755447941889
2011,Hung_Yen,59.85472154963681
2012,Hung_Yen,61.119221411192214
2013,Hung_Yen,56.79900744416874
2014,Hung_Yen,57.53807106598985
2015,Hung_Yen,57.938144329896915
2016,Hung_Yen,57.567567567567565
2017,Hung_Yen,52.97142857142857
2018,Hung_Yen,57.60606060606061
2019,Hung_Yen,60.45161290322581
2020,Hung_Yen,58.07560137457045
2000,Nam_Dinh,49.00954653937948
2001,Nam_Dinh,50.15625
2002,Nam_Dinh,51.65458937198068
2003,Nam_Dinh,47.49086479902558
2004,Nam_Dinh,53.082614056720104
2005,Nam_Dinh,29.3625
2006,Nam_Dinh,52.28356336260978
2007,Nam_Dinh,52.45259165613148
2008,Nam_Dinh,51.32832080200502
2009,Nam_Dinh,44.86924034869241
2010,Nam_Dinh,51.85414091470951
2011,Nam_Dinh,49.11581569115816
2012,Nam_Dinh,50.07537688442211
2013,Nam_Dinh,49.02408111533587
2014,Nam_Dinh,52.18829516539441
2015,Nam_Dinh,52.158365261813536
2016,Nam_Dinh,51.53945666235447
2017,Nam_Dinh,42.375979112271544
2018,Nam_Dinh,50.159574468085104
2019,Nam_Dinh,51.48299319727891
2020,Nam_Dinh,52.11248285322359
2000,Ninh_Binh,45.0
2001,Ninh_Binh,47.7037037037037
2002,Ninh_Binh,51.246882793017456
