Year,Province,NDVI_V,NDVI_VI,NDVI_VII,NDVI_VIII,NDVI_IX,NDVI_X,NDVI_XI
2000,Ha_Noi,0.410100168,0.304865685,0.40465075,0.483286549,0.513100801,0.365843946,0.325900886
2001,Ha_Noi,0.532061001,0.335094717,0.394493767,0.512085758,0.556593757,0.279786272,0.397016284
2002,Ha_Noi,0.482439388,0.282804441,0.449981005,0.623804784,0.566889916,0.336515548,0.232505512
2003,Ha_Noi,0.485319083,0.352924542,0.515177691,0.493041593,0.474883378,0.343502067,0.378594394
2004,Ha_Noi,0.546171314,0.367004186,0.341834647,0.518838182,0.53066161,0.389960486,0.376070006
2005,Ha_Noi,0.630722008,0.258537981,0.465663023,0.536105906,0.520821965,0.349134888,0.397200392
2006,Ha_Noi,0.514471488,0.319405745,0.518736121,0.599801808,0.526785916,0.389078338,0.459321879
2007,Ha_Noi,0.501227512,0.324367055,0.579908559,0.559257178,0.456599662,0.376479272,0.441442286
2008,Ha_Noi,0.608361851,0.331664466,0.401760858,0.554585073,0.498838241,0.383591117,0.305577497
2009,Ha_Noi,0.451647605,0.293580612,0.381529941,0.605194422,0.5163821,0.43979855,0.455206584
2010,Ha_Noi,0.407062763,0.282211554,0.393386797,0.545760344,0.44187039,0.400282721,0.419551788
2011,Ha_Noi,0.63213252,0.45045997,0.410928686,0.602982903,0.492022568,0.401636586,0.422915231
2012,Ha_Noi,0.535000727,0.362209377,0.49169407,0.616679424,0.443103252,0.400158106,0.288684042
2013,Ha_Noi,0.52513641,0.364116101,0.434674305,0.531443973,0.45533373,0.442773453,0.338662199
2014,Ha_Noi,0.493749626,0.389906782,0.456725184,0.547659688,0.457951674,0.377979685,0.39481337
2015,Ha_Noi,0.543774277,0.403100833,0.34375996,0.621044008,0.486815921,0.468228552,0.434379058
2016,Ha_Noi,0.465521277,0.425646472,0.514968016,0.567287773,0.428874366,0.419321961,0.384365335
2017,Ha_Noi,0.526275261,0.266868482,0.363218264,0.568903073,0.41108372,0.315956732,0.297144726
2018,Ha_Noi,0.585670058,0.379607761,0.340383246,0.587342828,0.461324083,0.386550498,0.339478874
2019,Ha_Noi,0.398476365,0.369958612,0.423587016,0.501926599,0.539391377,0.46061532,0.468901762
2020,Ha_Noi,0.481500947,0.412706451,0.443585128,0.51639049,0.415216254,0.423005314,0.365631368
2000,Hai_Duong,0.350191573,0.342085938,0.313183438,0.421336247,0.54510409,0.429539896,0.24538725
2001,Hai_Duong,0.502338163,0.38642933,0.369562676,0.469350498,0.627794726,0.354762878,0.36216
2002,Hai_Duong,0.469360076,0.274044098,0.399246209,0.617036238,0.565510325,0.344508021,0.187682147
2003,Hai_Duong,0.492180694,0.338355384,0.483448473,0.489309713,0.51795745,0.388069633,0.355194331
2004,Hai_Duong,0.488845387,0.388431952,0.30406342,0.496233994,0.540033974,0.441758186,0.299371368
2005,Hai_Duong,0.601061684,0.280825842,0.422156113,0.580625333,0.583072318,0.393270327,0.297192206
2006,Hai_Duong,0.475796504,0.294399299,0.452986313,0.577595606,0.576577146,0.332142531,0.334819279
2007,Hai_Duong,0.518228395,0.28850863,0.505830788,0.553619376,0.524882279,0.401937596,0.358803751
2008,Hai_Duong,0.618000387,0.327505877,0.286559836,0.483258009,0.539688766,0.390352821,0.307429587
2009,Hai_Duong,0.48497795,0.291165824,0.38359782,0.55235042,0.586084186,0.408428135,0.377009521
2010,Hai_Duong,0.353809612,0.267961335,0.406793318,0.562491847,0.520732037,0.403670004,0.352076013
2011,Hai_Duong,0.671652694,0.483038428,0.364492527,0.549153508,0.569724605,0.455486357,0.415202179
2012,Hai_Duong,0.511704664,0.39767541,0.413343637,0.614289035,0.556250392,0.434109833,0.246258768
2013,Hai_Duong,0.438282568,0.346151616,0.390636865,0.529609839,0.574465295,0.442074025,0.287543427
2014,Hai_Duong,0.499166997,0.444621075,0.399482236,0.458913776,0.556545148,0.351159258,0.341365951
2015,Hai_Duong,0.529112115,0.353005416,0.283128651,0.621800061,0.462760678,0.411520943,0.333747235
2016,Hai_Duong,0.479100658,0.446989522,0.435266084,0.55406504,0.506640593,0.447812912,0.323544032
2017,Hai_Duong,0.467442631,0.23228561,0.320236713,0.556762333,0.524585439,0.450943248,0.238381099
2018,Hai_Duong,0.580779745,0.387256389,0.244553037,0.606035459,0.541731925,0.36243564,0.389047017
2019,Hai_Duong,0.383022731,0.320985389,0.33812138,0.545748387,0.612594401,0.430229988,0.432345723
2020,Hai_Duong,0.528051615,0.395201702,0.377459912,0.511684307,0.508965319,0.488207512,0.347695199
2000,Hung_Yen,0.399927298,0.355720418,0.332182881,0.524818274,0.607930303,0.381142433,0.241107234
2001,Hung_Yen,0.544058128,0.415540713,0.348338371,0.505219564,0.662791623,0.364280084,0.35069351
2002,Hung_Yen,0.524982982,0.267385524,0.422256815,0.644031886,0.590979344,0.329410461,0.172099872
2003,Hung_Yen,0.580918633,0.295991978,0.467666656,0.528787806,0.531072404,0.333712401,0.343657542
2004,Hung_Yen,0.567515754,0.398025114,0.264875151,0.55007507,0.606809662,0.442273852,0.30408545
2005,Hung_Yen,0.685261221,0.321941779,0.415826232,0.601467726,0.590977036,0.350540388,0.297965152
2006,Hung_Yen,0.5481864,0.294415945,0.4851962,0.685945867,0.596776856,0.344962596,0.327892173
2007,Hung_Yen,0.575941232,0.32471427,0.503635822,0.620605704,0.553378945,0.406711696,0.369126055
2008,Hung_Yen,0.666524904,0.357939303,0.286542303,0.586687009,0.559317103,0.324873014,0.271898878
2009,Hung_Yen,0.559338367,0.303650129,0.339951312,0.65710135,0.6538408,0.425646008,0.394359632
2010,Hung_Yen,0.440615609,0.273581255,0.380975657,0.619393818,0.562557506,0.394461267,0.348189696
2011,Hung_Yen,0.734369479,0.528475429,0.340070025,0.63108559,0.574248653,0.464485691,0.375233335
2012,Hung_Yen,0.602491332,0.418558775,0.403753866,0.652502933,0.573210584,0.362027598,0.241039295
2013,Hung_Yen,0.523919277,0.346297905,0.38602487,0.553688273,0.598456711,0.429388998,0.275662256
2014,Hung_Yen,0.52099767,0.414049418,0.390587814,0.466283067,0.534417581,0.347996179,0.34634704
2015,Hung_Yen,0.635172054,0.405316321,0.246329011,0.663722717,0.487228656,0.403977361,0.392545136
2016,Hung_Yen,0.60710844,0.473020451,0.454966129,0.622831771,0.506134326,0.416927614,0.304776041
2017,Hung_Yen,0.540907779,0.271129512,0.362747896,0.560416267,0.524914475,0.424324897,0.26742291
2018,Hung_Yen,0.649165061,0.414893495,0.253439465,0.658429981,0.594616889,0.325327348,0.421302802
2019,Hung_Yen,0.48620136,0.296310252,0.414003506,0.588301776,0.617131904,0.432184805,0.447947415
2020,Hung_Yen,0.580198508,0.414329719,0.380819972,0.56503974,0.490473425,0.455365034,0.390339425
2000,Nam_Dinh,0.535094105,0.408393298,0.269107547,0.458042588,0.614898636,0.455360524,0.234958512
2001,Nam_Dinh,0.56588698,0.529706995,0.273261894,0.409355394,0.664682446,0.441171513,0.31853369
2002,Nam_Dinh,0.572478685,0.322333625,0.29797056,0.559935605,0.691882239,0.41154543,0.201695795
2003,Nam_Dinh,0.577666601,0.355339866,0.32371593,0.478480663,0.468604648,0.423922091,0.309566469
2004,Nam_Dinh,0.673029231,0.426422125,0.189485592,0.484930092,0.620962327,0.535886307,0.254475807
2005,Nam_Dinh,0.706850613,0.371219961,0.276428439,0.495834205,0.519830065,0.369252834,0.269397852
