Year,Province,Pre_NDVI_X,Pre_NDVI_XI,Pre_NDVI_XII,NDVI_I,NDVI_II,NDVI_III,NDVI_IV,NDVI_V
2001,Ha_Noi,0.365843946,0.325900886,0.291472539,0.146659831,0.144853791,0.172600407,0.428903377,0.532061001
2002,Ha_Noi,0.279786272,0.397016284,0.231082532,0.173424183,0.103002937,0.228292553,0.577257466,0.482439388
2003,Ha_Noi,0.336515548,0.232505512,0.310000986,0.238347115,0.279695861,0.276349666,0.454257729,0.485319083
2004,Ha_Noi,0.343502067,0.378594394,0.18685541,0.173578428,0.126742967,0.256391778,0.400495139,0.546171314
2005,Ha_Noi,0.389960486,0.376070006,0.301743064,0.062443609,0.120947165,0.185625595,0.483379263,0.630722008
2006,Ha_Noi,0.349134888,0.397200392,0.33741782,0.234809608,0.09469654,0.200482636,0.476920192,0.514471488
2007,Ha_Noi,0.389078338,0.459321879,0.287219514,0.152870356,0.190962119,0.222858599,0.526795109,0.501227512
2008,Ha_Noi,0.376479272,0.441442286,0.251128328,0.18648827,0.105530343,0.139403773,0.480045953,0.608361851
2009,Ha_Noi,0.383591117,0.305577497,0.242391377,0.165903278,0.135494935,0.276557831,0.566293173,0.451647605
2010,Ha_Noi,0.43979855,0.455206584,0.319122341,0.132348678,0.201900179,0.202195702,0.435999315,0.407062763
2011,Ha_Noi,0.400282721,0.419551788,0.318908387,0.030504324,0.110132173,0.106177912,0.471801276,0.63213252
2012,Ha_Noi,0.401636586,0.422915231,0.30634239,0.048435093,0.047235944,0.214765055,0.466251345,0.535000727
2013,Ha_Noi,0.400158106,0.288684042,0.169912039,0.078768855,0.10421522,0.297630134,0.425694095,0.52513641
2014,Ha_Noi,0.442773453,0.338662199,0.423680334,0.28366372,0.072359234,0.121389335,0.302726762,0.493749626
2015,Ha_Noi,0.377979685,0.39481337,0.39583013,0.289000872,0.136484672,0.246992469,0.594306535,0.543774277
2016,Ha_Noi,0.468228552,0.434379058,0.346587567,0.186997114,0.211592777,0.111349202,0.399300208,0.465521277
2017,Ha_Noi,0.419321961,0.384365335,0.398065382,0.159398714,0.202664445,0.23228235,0.570387926,0.526275261
2018,Ha_Noi,0.315956732,0.297144726,0.286591306,0.136614087,0.142604121,0.398872151,0.410104237,0.585670058
2019,Ha_Noi,0.386550498,0.339478874,0.320996856,0.099744948,0.228676526,0.262568963,0.587396181,0.398476365
2020,Ha_Noi,0.46061532,0.468901762,0.344584788,0.177701916,0.176491883,0.230457715,0.475969698,0.481500947
2001,Hai_Duong,0.429539896,0.24538725,0.308696702,0.119416153,0.15855455,0.289683159,0.568994431,0.502338163
2002,Hai_Duong,0.354762878,0.36216,0.220634118,0.143714614,0.113695616,0.217152772,0.507082123,0.469360076
2003,Hai_Duong,0.344508021,0.187682147,0.24477713,0.179562977,0.257566572,0.288546981,0.348104775,0.492180694
2004,Hai_Duong,0.388069633,0.355194331,0.253152795,0.141179126,0.146969057,0.188081901,0.374574515,0.488845387
2005,Hai_Duong,0.441758186,0.299371368,0.281303568,0.058128967,0.143198454,0.132036323,0.433126816,0.601061684
2006,Hai_Duong,0.393270327,0.297192206,0.250572464,0.176014577,0.114316581,0.177678437,0.478573929,0.475796504
2007,Hai_Duong,0.332142531,0.334819279,0.33597567,0.146781442,0.213923871,0.21708441,0.461004034,0.518228395
2008,Hai_Duong,0.401937596,0.358803751,0.203155803,0.168720756,0.12187805,0.140656527,0.529505737,0.618000387
2009,Hai_Duong,0.390352821,0.307429587,0.24547549,0.162728483,0.159798643,0.246448077,0.590197456,0.48497795
2010,Hai_Duong,0.408428135,0.377009521,0.220090944,0.093037849,0.240807226,0.164050332,0.239991307,0.353809612
2011,Hai_Duong,0.403670004,0.352076013,0.210332763,0.058928922,0.093880403,0.119989236,0.427260179,0.671652694
2012,Hai_Duong,0.455486357,0.415202179,0.301167344,0.091085198,0.058139963,0.157196162,0.337082267,0.511704664
2013,Hai_Duong,0.434109833,0.246258768,0.097627693,0.097221517,0.101739759,0.276701381,0.317571312,0.438282568
2014,Hai_Duong,0.442074025,0.287543427,0.369081776,0.281573481,0.036637918,0.07471204,0.197439471,0.499166997
2015,Hai_Duong,0.351159258,0.341365951,0.315970364,0.31119759,0.079429325,0.200115221,0.594599616,0.529112115
2016,Hai_Duong,0.411520943,0.333747235,0.357282079,0.200287376,0.225410408,0.076304877,0.345080099,0.479100658
2017,Hai_Duong,0.447812912,0.323544032,0.339372675,0.174867592,0.224261205,0.205391799,0.491901318,0.467442631
2018,Hai_Duong,0.450943248,0.238381099,0.295038543,0.121027004,0.105978045,0.397268568,0.340110848,0.580779745
2019,Hai_Duong,0.36243564,0.389047017,0.385030744,0.144215568,0.149970212,0.274625299,0.444699814,0.383022731
2020,Hai_Duong,0.430229988,0.432345723,0.312706166,0.197079387,0.16523642,0.186204364,0.460027129,0.528051615
2001,Hung_Yen,0.381142433,0.241107234,0.272087018,0.115612136,0.114860092,0.201695124,0.545920712,0.544058128
2002,Hung_Yen,0.364280084,0.35069351,0.232594566,0.160436398,0.081452171,0.213501968,0.506778688,0.524982982
2003,Hung_Yen,0.329410461,0.172099872,0.27191951,0.201749016,0.216628202,0.268477416,0.426476786,0.580918633
2004,Hung_Yen,0.333712401,0.343657542,0.191409755,0.164400974,0.105520852,0.167162721,0.408509499,0.567515754
2005,Hung_Yen,0.442273852,0.30408545,0.273252234,0.053174597,0.096471618,0.131088529,0.540561662,0.685261221
2006,Hung_Yen,0.350540388,0.297965152,0.291338185,0.207156689,0.073434531,0.150746872,0.520215698,0.5481864
2007,Hung_Yen,0.344962596,0.327892173,0.290196418,0.147587563,0.119378758,0.217506966,0.490252031,0.575941232
2008,Hung_Yen,0.406711696,0.369126055,0.213869881,0.172080809,0.090970143,0.124948231,0.581066121,0.666524904
2009,Hung_Yen,0.324873014,0.271898878,0.243404906,0.200675385,0.136289162,0.196630839,0.606904804,0.559338367
2010,Hung_Yen,0.425646008,0.394359632,0.233326306,0.104762793,0.18600175,0.166680057,0.330257447,0.440615609
2011,Hung_Yen,0.394461267,0.348189696,0.242229548,0.04198072,0.083388712,0.052876092,0.443033752,0.734369479
2012,Hung_Yen,0.464485691,0.375233335,0.290678454,0.080744832,0.049635086,0.151899137,0.369848644,0.602491332
2013,Hung_Yen,0.362027598,0.241039295,0.094646055,0.108622464,0.082511753,0.26459365,0.421687659,0.523919277
2014,Hung_Yen,0.429388998,0.275662256,0.407995512,0.286966366,0.041084704,0.104396593,0.241151567,0.52099767
2015,Hung_Yen,0.347996179,0.34634704,0.340509506,0.300580205,0.078270223,0.208133115,0.669444405,0.635172054
2016,Hung_Yen,0.403977361,0.392545136,0.299581221,0.208228854,0.196948234,0.062482724,0.383090915,0.60710844
2017,Hung_Yen,0.416927614,0.304776041,0.298027645,0.182498476,0.171390062,0.230011434,0.522478602,0.540907779
2018,Hung_Yen,0.424324897,0.26742291,0.304437583,0.135322164,0.091427004,0.407432223,0.374169046,0.649165061
2019,Hung_Yen,0.325327348,0.421302802,0.369758934,0.136780826,0.158794362,0.26046491,0.541674693,0.48620136
2020,Hung_Yen,0.432184805,0.447947415,0.340298966,0.198978501,0.144423469,0.171125651,0.478054435,0.580198508
2001,Nam_Dinh,0.455360524,0.234958512,0.199924105,0.094462713,0.088013857,0.203786666,0.617207188,0.56588698
2002,Nam_Dinh,0.441171513,0.31853369,0.172416294,0.155032878,0.064618268,0.251766741,0.557780102,0.572478685
2003,Nam_Dinh,0.41154543,0.201695795,0.221100608,0.146937296,0.189603307,0.313463637,0.560026282,0.577666601
2004,Nam_Dinh,0.423922091,0.309566469,0.134794593,0.07179093,0.081733447,0.211330272,0.498426451,0.673029231
2005,Nam_Dinh,0.535886307,0.254475807,0.249243295,0.062487254,0.084933275,0.14457287,0.527552759,0.706850613
2006,Nam_Dinh,0.369252834,0.269397852,0.235207915,0.179220562,0.066474527,0.099900771,0.575304582,0.630893672
2007,Nam_Dinh,0.421194877,0.292391963,0.226643406,0.10264154,0.106937977,0.226502878,0.603785613,0.558118469
2008,Nam_Dinh,0.397618974,0.301726909,0.168476284,0.138128433,0.070674566,0.147198076,0.433023317,0.701041281
2009,Nam_Dinh,0.415509195,0.225454854,0.217262143,0.1430781,0.074328141,0.27931022,0.54907689,0.563003017
