Year,Province,RandomCropYield
2001,Ha_Noi,-1.858160865
2002,Ha_Noi,-0.297720105
2003,Ha_Noi,0.318133411
2004,Ha_Noi,1.944568064
2005,Ha_Noi,0.746493131
2006,Ha_Noi,1.22677733
2007,Ha_Noi,-5.509585712
2008,Ha_Noi,1.857143168
2009,Ha_Noi,-0.02116177
2010,Ha_Noi,-0.710467613
2011,Ha_Noi,3.589315331
2012,Ha_Noi,2.343652013
2013,Ha_Noi,1.373554456
2014,Ha_Noi,0.941713915
2015,Ha_Noi,0.53771013
2016,Ha_Noi,0.043027831
2017,Ha_Noi,0.078113376
2018,Ha_Noi,1.126106678
2019,Ha_Noi,-3.219384008
2020,Ha_Noi,-2.709862929
2001,Hai_Duong,-2.792537885
2002,Hai_Duong,-0.725333344
2003,Hai_Duong,1.015214068
2004,Hai_Duong,1.745934457
2005,Hai_Duong,1.595486376
2006,Hai_Duong,1.98405287
2007,Hai_Duong,-4.205352271
2008,Hai_Duong,2.044147326
2009,Hai_Duong,1.535818719
2010,Hai_Duong,-2.762928698
2011,Hai_Duong,4.254005026
2012,Hai_Duong,2.005885129
2013,Hai_Duong,-0.482944646
2014,Hai_Duong,-0.58559276
2015,Hai_Duong,0.153904995
2016,Hai_Duong,0.016192731
2017,Hai_Duong,0.250864706
2018,Hai_Duong,1.903877569
2019,Hai_Duong,-2.557149444
2020,Hai_Duong,-2.3840566
2001,Hung_Yen,-2.963809287
2002,Hung_Yen,-1.310515908
2003,Hung_Yen,0.238743455
2004,Hung_Yen,1.282781208
2005,Hung_Yen,1.606899438
2006,Hung_Yen,1.187195687
2007,Hung_Yen,-2.214623112
2008,Hung_Yen,1.41510572
2009,Hung_Yen,-0.481019522
2010,Hung_Yen,-1.165603247
2011,Hung_Yen,3.895635616
2012,Hung_Yen,2.409689138
2013,Hung_Yen,1.543353549
2014,Hung_Yen,0.14370339
2015,Hung_Yen,-0.673757022
2016,Hung_Yen,-1.202947469
2017,Hung_Yen,-1.536101843
2018,Hung_Yen,-0.289568046
2019,Hung_Yen,-0.546257674
2020,Hung_Yen,-0.901939973
2001,Nam_Dinh,-0.78434061
2002,Nam_Dinh,0.09498265
2003,Nam_Dinh,0.440247855
2004,Nam_Dinh,1.259046417
2005,Nam_Dinh,1.491541562
2006,Nam_Dinh,2.042780105
2007,Nam_Dinh,-1.461217408
2008,Nam_Dinh,-1.115682193
2009,Nam_Dinh,-1.189680878
2010,Nam_Dinh,-0.609841358
2011,Nam_Dinh,-0.074906119
2012,Nam_Dinh,-0.045065328
2013,Nam_Dinh,0.00123251
2014,Nam_Dinh,0.075904571
2015,Nam_Dinh,0.098758126
2016,Nam_Dinh,0.225954712
2017,Nam_Dinh,0.176580733
2018,Nam_Dinh,0.226932397
2019,Nam_Dinh,-0.032831329
2020,Nam_Dinh,-0.039543225
2001,Ninh_Binh,-0.524136376
2002,Ninh_Binh,-0.109444957
2003,Ninh_Binh,0.378939224
2004,Ninh_Binh,0.960374828
2005,Ninh_Binh,0.933398345
2006,Ninh_Binh,1.710148858
2007,Ninh_Binh,-3.112092167
2008,Ninh_Binh,-0.639189424
2009,Ninh_Binh,-1.245642191
2010,Ninh_Binh,0.218224611
2011,Ninh_Binh,1.024270177
2012,Ninh_Binh,0.169827514
2013,Ninh_Binh,0.151798587
2014,Ninh_Binh,0.277017552
2015,Ninh_Binh,0.150673014
2016,Ninh_Binh,0.059167411
2017,Ninh_Binh,-0.203455477
2018,Ninh_Binh,0.109205512
2019,Ninh_Binh,0.109385989
2020,Ninh_Binh,-0.309253728
2001,Thai_Binh,-2.807011921
2002,Thai_Binh,-0.392832784
2003,Thai_Binh,1.12097867
2004,Thai_Binh,1.885771068
2005,Thai_Binh,2.525003306
2006,Thai_Binh,2.221705143
2007,Thai_Binh,-8.073844025
2008,Thai_Binh,0.632697419
2009,Thai_Binh,0.71594833
2010,Thai_Binh,0.68249498
2011,Thai_Binh,2.47027222
2012,Thai_Binh,1.236081883
2013,Thai_Binh,0.821691461
2014,Thai_Binh,0.779987164
2015,Thai_Binh,0.36106805
2016,Thai_Binh,0.028436391
2017,Thai_Binh,-0.098932136
2018,Thai_Binh,-0.334546642
2019,Thai_Binh,-0.997017384
2020,Thai_Binh,-1.895675965
2001,Ha_Nam,0.193320702
2002,Ha_Nam,0.008869586
2003,Ha_Nam,-0.629560834
2004,Ha_Nam,-0.371958288
2005,Ha_Nam,0.626989775
2006,Ha_Nam,0.748886291
2007,Ha_Nam,-1.797781756
2008,Ha_Nam,0.796805895
2009,Ha_Nam,-0.371526592
2010,Ha_Nam,-0.576973149
2011,Ha_Nam,1.611241629
2012,Ha_Nam,0.523616311
2013,Ha_Nam,0.345099844
2014,Ha_Nam,-0.673865036
2015,Ha_Nam,-0.337381654
2016,Ha_Nam,-0.425135985
2017,Ha_Nam,-0.251701999
2018,Ha_Nam,0.197553517
2019,Ha_Nam,-0.145749116
2020,Ha_Nam,0.357827423
