Year,Province,RandomCropYield
2000,Ha_Noi,3.59455878866666
2001,Ha_Noi,0.4738960906264893
2002,Ha_Noi,2.925670444478257
2003,Ha_Noi,0.870230700221974
2004,Ha_Noi,1.739570377857632
2005,Ha_Noi,-0.011201752614773852
2006,Ha_Noi,-0.5997344111952359
2007,Ha_Noi,-4.274629677883766
2008,Ha_Noi,0.5983757973196546
2009,Ha_Noi,-1.1092619755849782
2010,Ha_Noi,-2.3765491165976798
2011,Ha_Noi,1.8779719642815635
2012,Ha_Noi,0.6356064970527484
2013,Ha_Noi,-1.4097400082841247
2014,Ha_Noi,-0.055920431729056475
2015,Ha_Noi,0.3909856867179471
2016,Ha_Noi,-1.3904214229430991
2017,Ha_Noi,-2.0020581007122047
2018,Ha_Noi,0.17509186341062843
2019,Ha_Noi,0.11188528942539477
2020,Ha_Noi,3.1098895373321156
2000,Hai_Duong,0.511977674075041
2001,Hai_Duong,-1.538110251536672
2002,Hai_Duong,0.5189020091483201
2003,Hai_Duong,0.3150497509014869
2004,Hai_Duong,-0.0532231615056773
2005,Hai_Duong,-1.202495163301677
2006,Hai_Duong,-0.7475380097150435
2007,Hai_Duong,-1.3670950359742733
2008,Hai_Duong,-0.2931945173078958
2009,Hai_Duong,0.9072315810555907
2010,Hai_Duong,-0.5348561461123538
2011,Hai_Duong,1.7721768959597881
2012,Hai_Duong,2.079123862043488
2013,Hai_Duong,-0.9378423330897689
2014,Hai_Duong,-0.18001812466849287
2015,Hai_Duong,0.8137000520788007
2016,Hai_Duong,0.9431366519235951
2017,Hai_Duong,-3.774382880362616
2018,Hai_Duong,0.8545771999916383
2019,Hai_Duong,-0.22031484224212505
2020,Hai_Duong,0.7177782577075504
2000,Hung_Yen,2.1514540133648623
2001,Hung_Yen,-1.6384084474994296
2002,Hung_Yen,0.20939087885469831
2003,Hung_Yen,0.08280290915217137
2004,Hung_Yen,-0.6256034398820915
2005,Hung_Yen,-0.5496228415231741
2006,Hung_Yen,-0.7088711990461363
2007,Hung_Yen,-2.447005615726077
2008,Hung_Yen,0.44078829516192286
2009,Hung_Yen,-0.02010717965720943
2010,Hung_Yen,0.15832877654142408
2011,Hung_Yen,1.9664908804827803
2012,Hung_Yen,2.17492791889174
2013,Hung_Yen,-0.09058476150674721
2014,Hung_Yen,-0.13302066398776446
2015,Hung_Yen,-0.10171387182641922
2016,Hung_Yen,-0.3505513282977546
2017,Hung_Yen,-2.677610406676898
2018,Hung_Yen,0.25596779976113737
2019,Hung_Yen,1.447479387741211
2020,Hung_Yen,-0.20818760601174802
2000,Nam_Dinh,2.1210212435384648
2001,Nam_Dinh,2.4926307654256448
2002,Nam_Dinh,3.442724497312824
2003,Nam_Dinh,1.3116832291999998
2004,Nam_Dinh,4.31370415108718
2005,Nam_Dinh,-7.806114467025637
2006,Nam_Dinh,3.8061042148615414
2007,Nam_Dinh,1.7135586867487191
2008,Nam_Dinh,0.5713992186358965
2009,Nam_Dinh,-2.197610869476918
2010,Nam_Dinh,1.3640872124102614
2011,Nam_Dinh,0.04975752429744773
2012,Nam_Dinh,0.34765114618461723
2013,Nam_Dinh,-0.4152992519281966
2014,Nam_Dinh,1.0127143099589802
2015,Nam_Dinh,0.7935857718461605
2016,Nam_Dinh,0.35601134373334276
2017,Nam_Dinh,-4.564789234379482
2018,Nam_Dinh,-0.7641387724923021
2019,Nam_Dinh,-0.36758234060511796
2020,Nam_Dinh,-0.2998196687179373
2000,Ninh_Binh,0.29254208910174384
2001,Ninh_Binh,0.41827017691197454
