Year,Province,RandomCropYield
2000,Ha_Noi,2.531935677
2000,Hai_Duong,0.511977678
2000,Hung_Yen,2.151454018
2000,Nam_Dinh,0.880111722
2000,Ninh_Binh,0.292542089
2000,Thai_Binh,1.850004613
2000,Ha_Nam,0.466136911
2001,Ha_Noi,-0.734837698
2001,Hai_Duong,-1.53811025
2001,Hung_Yen,-1.638408452
2001,Nam_Dinh,0.762736871
2001,Ninh_Binh,0.418270173
2001,Thai_Binh,-2.171759128
2001,Ha_Nam,0.366459165
2002,Ha_Noi,1.694166162
2002,Hai_Duong,0.518902008
2002,Hung_Yen,0.209390874
2002,Nam_Dinh,1.413360273
2002,Ninh_Binh,1.536719003
2002,Thai_Binh,2.762143568
2002,Ha_Nam,0.690171289
2003,Ha_Noi,-0.279679305
2003,Hai_Duong,0.315049751
2003,Hung_Yen,0.082802905
2003,Nam_Dinh,-0.849796371
2003,Ninh_Binh,-2.516514952
2003,Thai_Binh,-6.297821163
2003,Ha_Nam,-2.320095917
2004,Ha_Noi,0.756644001
2004,Hai_Duong,-0.053223165
2004,Hung_Yen,-0.625603438
2004,Nam_Dinh,2.165305004
2004,Ninh_Binh,0.95937491
2004,Thai_Binh,1.944068512
2004,Ha_Nam,-1.094846573
2005,Ha_Noi,-0.760730555
2005,Hai_Duong,-1.202495161
2005,Hung_Yen,-0.549622838
2005,Nam_Dinh,-9.818396397
2005,Ninh_Binh,-6.752339044
2005,Thai_Binh,-3.46433956
2005,Ha_Nam,-4.199991008
2006,Ha_Noi,-1.068427102
2006,Hai_Duong,-0.747538013
2006,Hung_Yen,-0.708871195
2006,Nam_Dinh,2.030817141
2006,Ninh_Binh,1.345405129
2006,Thai_Binh,2.352830659
2006,Ha_Nam,0.013497845
2007,Ha_Noi,-4.434023144
2007,Hai_Duong,-1.367095034
2007,Hung_Yen,-2.447005617
2007,Nam_Dinh,0.253985019
2007,Ninh_Binh,-2.086715154
2007,Thai_Binh,-2.930218907
2007,Ha_Nam,1.020197636
2008,Ha_Noi,0.757769267
2008,Hai_Duong,-0.293194516
2008,Hung_Yen,0.44078829
2008,Nam_Dinh,-0.515901597
2008,Ninh_Binh,-0.139668211
2008,Thai_Binh,2.411455286
2008,Ha_Nam,1.204539448
2009,Ha_Noi,-0.640569278
2009,Hai_Duong,0.90723158
2009,Hung_Yen,-0.020107177
2009,Nam_Dinh,-2.878238472
2009,Ninh_Binh,1.481856159
2009,Thai_Binh,1.994541421
2009,Ha_Nam,1.135659933
2010,Ha_Noi,-1.627020319
2010,Hai_Duong,-0.534856143
2010,Hung_Yen,0.158328778
2010,Nam_Dinh,1.10237407
2010,Ninh_Binh,1.560983113
2010,Thai_Binh,1.790155676
2010,Ha_Nam,0.577294425
2011,Ha_Noi,2.860898339
2011,Hai_Duong,1.772176899
2011,Hung_Yen,1.966490882
2011,Nam_Dinh,0.197041006
2011,Ninh_Binh,1.882310567
2011,Thai_Binh,0.941233134
2011,Ha_Nam,1.688549641
2012,Ha_Noi,1.785516504
2012,Hai_Duong,2.079123865
2012,Hung_Yen,2.174927923
2012,Nam_Dinh,0.8718543
2012,Ninh_Binh,1.719632444
2012,Thai_Binh,-0.11197071
2012,Ha_Nam,2.07967764
2013,Ha_Noi,-0.178235729
2013,Hai_Duong,-0.937842338
2013,Hung_Yen,-0.090584765
2013,Nam_Dinh,0.431587537
2013,Ninh_Binh,-1.868626452
2013,Thai_Binh,-0.300802734
2013,Ha_Nam,-1.772995181
2014,Ha_Noi,1.152813354
2014,Hai_Duong,-0.180018126
2014,Hung_Yen,-0.133020666
2014,Nam_Dinh,2.105889582
2014,Ninh_Binh,1.220241268
2014,Thai_Binh,0.112325977
2014,Ha_Nam,-0.358014471
2015,Ha_Noi,1.453608798
2015,Hai_Duong,0.813700053
2015,Hung_Yen,-0.101713873
2015,Nam_Dinh,2.034495293
2015,Ninh_Binh,0.729955724
2015,Thai_Binh,0.39671432
2015,Ha_Nam,0.555655021
2016,Ha_Noi,-0.616224589
2016,Hai_Duong,0.943136651
2016,Hung_Yen,-0.350551328
2016,Nam_Dinh,1.623941775
2016,Ninh_Binh,0.01075655
2016,Thai_Binh,0.295915553
2016,Ha_Nam,-0.086616559
2017,Ha_Noi,-1.677578547
2017,Hai_Duong,-3.774382883
2017,Hung_Yen,-2.677610406
2017,Nam_Dinh,-3.412710318
2017,Ninh_Binh,-3.537649572
2017,Thai_Binh,-5.976703986
2017,Ha_Nam,-3.786144464
2018,Ha_Noi,-0.130412277
2018,Hai_Duong,0.854577197
2018,Hung_Yen,0.255967802
2018,Nam_Dinh,0.107057082
2018,Ninh_Binh,0.305099249
2018,Thai_Binh,0.416493257
2018,Ha_Nam,0.302490687
2019,Ha_Noi,-1.022844388
2019,Hai_Duong,-0.220314844
2019,Hung_Yen,1.447479383
2019,Nam_Dinh,0.035539811
2019,Ninh_Binh,0.576174904
2019,Thai_Binh,1.086249344
2019,Ha_Nam,0.860640128
2020,Ha_Noi,0.927717082
2020,Hai_Duong,0.717778263
2020,Hung_Yen,-0.208187604
2020,Nam_Dinh,-0.574120941
2020,Ninh_Binh,0.362709388
2020,Thai_Binh,1.589015246
2020,Ha_Nam,0.827338952
